	Family	Source	orthogroup	species
Glyma.09G254800	WRKY	TFDB	4443	glyma
Glyma.09G260100	BES1	TFDB	6488	glyma
Glyma.09G268700	LBD	TFDB	4375	glyma
Glyma.09G270000	GRAS	TFDB	8876	glyma
Glyma.09G274000	WRKY	TFDB	811	glyma
Glyma.09G278100	bHLH	TFDB	1041	glyma
Glyma.09G280200	WRKY	TFDB	710	glyma
Glyma.09G284300	TCP	TFDB	4997	glyma
Glyma.09G284500	TCP	TFDB	4997	glyma
Glyma.10G001400	FAR1	TFDB	2425	glyma
Glyma.10G003100	HSF	TFDB	686	glyma
Glyma.10G007300	bHLH	TFDB	6694	glyma
Glyma.10G009200	SBP	TFDB	6489	glyma
Glyma.10G011300	WRKY	TFDB	3534	glyma
Glyma.10G012500	GRAS	TFDB	None	glyma
Glyma.10G013300	bZIP	TFDB	3312	glyma
Glyma.10G020100	NF-YB	TFDB	381	glyma
Glyma.10G026000	bHLH	TFDB	6559	glyma
Glyma.10G029600	HSF	TFDB	686	glyma
Glyma.10G031600	bHLH	TFDB	6667	glyma
Glyma.10G032900	WRKY	TFDB	3582	glyma
Glyma.10G034300	bHLH	TFDB	8226	glyma
Glyma.10G035000	LBD	TFDB	4308	glyma
Glyma.10G035100	LBD	TFDB	2568	glyma
Glyma.10G037700	NAC	TFDB	6571	glyma
Glyma.10G038500	GRAS	TFDB	14459	glyma
Glyma.10G042800	bHLH	TFDB	2980	glyma
Glyma.10G048900	NF-YB	TFDB	1828	glyma
Glyma.10G050700	S1Fa-like	TFDB	3036	glyma
Glyma.10G057400	TCP	TFDB	11631	glyma
Glyma.10G064900	Trihelix	TFDB	5914	glyma
Glyma.10G065100	Trihelix	TFDB	10861	glyma
Glyma.10G066100	HSF	TFDB	8969	glyma
Glyma.10G066800	Trihelix	TFDB	2815	glyma
Glyma.10G068900	VOZ	TFDB	49672	glyma
Glyma.10G071700	bZIP	TFDB	4324	glyma
Glyma.10G077000	NAC	TFDB	None	glyma
Glyma.10G077400	NAC	TFDB	None	glyma
Glyma.10G078200	E2F/DP	TFDB	844	glyma
Glyma.10G082000	Dof	TFDB	8967	glyma
Glyma.10G082800	NF-YA	TFDB	3322	glyma
Glyma.10G087200	LBD	TFDB	8874	glyma
Glyma.10G092100	bZIP	TFDB	3403	glyma
Glyma.10G093100	bHLH	TFDB	3637	glyma
Glyma.10G093600	bHLH	TFDB	4368	glyma
Glyma.10G111400	WRKY	TFDB	None	glyma
Glyma.10G113800	WRKY	TFDB	None	glyma
Glyma.10G121700	FAR1	TFDB	6198	glyma
Glyma.10G124900	FAR1	TFDB	None	glyma
Glyma.10G126900	GATA	TFDB	10626	glyma
Glyma.10G138300	WRKY	TFDB	5500	glyma
Glyma.10G138800	bHLH	TFDB	17028	glyma
Glyma.10G142600	bHLH	TFDB	2413	glyma
Glyma.10G153500	NF-YB	TFDB	381	glyma
Glyma.10G155900	NF-YC	TFDB	1376	glyma
Glyma.10G156600	bHLH	TFDB	9386	glyma
Glyma.10G160000	GeBP	TFDB	3332	glyma
Glyma.10G160100	GeBP	TFDB	19277	glyma
Glyma.10G161200	Trihelix	TFDB	6043	glyma
Glyma.10G162100	bZIP	TFDB	4107	glyma
Glyma.10G162300	bHLH	TFDB	11404	glyma
Glyma.10G171000	WRKY	TFDB	None	glyma
Glyma.10G171100	WRKY	TFDB	49755	glyma
Glyma.10G171200	WRKY	TFDB	None	glyma
Glyma.10G173500	bHLH	TFDB	8679	glyma
Glyma.10G173700	Dof	TFDB	437	glyma
Glyma.10G190200	GRAS	TFDB	14335	glyma
Glyma.10G192000	NF-YB	TFDB	1828	glyma
Glyma.10G197500	NAC	TFDB	7226	glyma
Glyma.10G197600	NAC	TFDB	7156	glyma
Glyma.10G201400	Trihelix	TFDB	17932	glyma
Glyma.10G202300	Trihelix	TFDB	2815	glyma
Glyma.10G204700	NAC	TFDB	4736	glyma
Glyma.10G205000	bHLH	TFDB	6746	glyma
Glyma.10G206300	bHLH	TFDB	8549	glyma
Glyma.10G210500	GATA	TFDB	4870	glyma
Glyma.10G213500	LBD	TFDB	949	glyma
Glyma.10G215000	GRAS	TFDB	11474	glyma
Glyma.10G216400	NAC	TFDB	8370	glyma
Glyma.10G219600	NAC	TFDB	6962	glyma
Glyma.10G223800	bZIP	TFDB	10525	glyma
Glyma.10G225100	Trihelix	TFDB	None	glyma
Glyma.10G225200	Trihelix	TFDB	6983	glyma
Glyma.10G225300	Trihelix	TFDB	6880	glyma
Glyma.10G230200	WRKY	TFDB	4052	glyma
Glyma.10G232000	GRAS	TFDB	2840	glyma
Glyma.10G234100	Nin-like	TFDB	3685	glyma
Glyma.10G237800	HSF	TFDB	5009	glyma
Glyma.10G238500	FAR1	TFDB	15215	glyma
Glyma.10G240200	TCP	TFDB	1818	glyma
Glyma.10G241300	bHLH	TFDB	468	glyma
Glyma.10G241400	bHLH	TFDB	468	glyma
Glyma.10G244000	HSF	TFDB	686	glyma
Glyma.10G245500	CPP	TFDB	3777	glyma
Glyma.10G246200	TCP	TFDB	2697	glyma
Glyma.10G257400	bHLH	TFDB	2090	glyma
Glyma.10G257500	bHLH	TFDB	2090	glyma
Glyma.10G258100	LBD	TFDB	17017	glyma
Glyma.10G259000	FAR1	TFDB	20	glyma
Glyma.10G261100	bHLH	TFDB	5553	glyma
Glyma.10G276100	bZIP	TFDB	7042	glyma
Glyma.10G281800	bHLH	TFDB	4313	glyma
Glyma.10G285900	TCP	TFDB	4997	glyma
Glyma.10G296200	bZIP	TFDB	4789	glyma
Glyma.10G298700	Trihelix	TFDB	5163	glyma
Glyma.11G006900	CPP	TFDB	3777	glyma
Glyma.11G009800	HSF	TFDB	10581	glyma
Glyma.11G010800	E2F/DP	TFDB	5024	glyma
Glyma.11G016100	GRAS	TFDB	51793	glyma
Glyma.11G021200	WRKY	TFDB	8271	glyma
Glyma.11G025700	HSF	TFDB	8160	glyma
Glyma.11G030600	NAC	TFDB	1107	glyma
Glyma.11G037900	GATA	TFDB	3092	glyma
Glyma.11G043600	bHLH	TFDB	4189	glyma
Glyma.11G043700	bHLH	TFDB	339	glyma
Glyma.11G045900	bZIP	TFDB	3581	glyma
Glyma.11G047700	GRAS	TFDB	6654	glyma
Glyma.11G049300	LBD	TFDB	3998	glyma
Glyma.11G053100	WRKY	TFDB	1342	glyma
Glyma.11G054600	bHLH	TFDB	8119	glyma
Glyma.11G055300	bHLH	TFDB	1128	glyma
Glyma.11G056200	HSF	TFDB	8176	glyma
Glyma.11G058400	LBD	TFDB	14287	glyma
Glyma.11G059300	Dof	TFDB	9391	glyma
Glyma.11G064300	BES1	TFDB	10735	glyma
Glyma.11G065000	bZIP	TFDB	2113	glyma
Glyma.11G065200	GRAS	TFDB	5441	glyma
Glyma.11G068700	GATA	TFDB	4523	glyma
Glyma.11G068800	ZF-HD	TFDB	5132	glyma
Glyma.11G072500	SRS	TFDB	16316	glyma
Glyma.11G075400	NAC	TFDB	3593	glyma
Glyma.11G083900	SBP	TFDB	19596	glyma
Glyma.11G085500	Nin-like	TFDB	12008	glyma
Glyma.11G088700	FAR1	TFDB	20	glyma
Glyma.11G091900	E2F/DP	TFDB	5024	glyma
Glyma.11G092000	GRAS	TFDB	5853	glyma
Glyma.11G096000	GRAS	TFDB	2433	glyma
Glyma.11G096500	GRAS	TFDB	11174	glyma
Glyma.11G096600	NAC	TFDB	7966	glyma
Glyma.11G108100	bZIP	TFDB	4262	glyma
Glyma.11G110400	bZIP	TFDB	6481	glyma
Glyma.11G111700	GATA	TFDB	3727	glyma
Glyma.11G113200	SRS	TFDB	11785	glyma
Glyma.11G114800	bZIP	TFDB	438	glyma
Glyma.11G117100	bHLH	TFDB	3131	glyma
Glyma.11G125500	Nin-like	TFDB	1811	glyma
Glyma.11G126600	bZIP	TFDB	52200	glyma
Glyma.11G126700	FAR1	TFDB	20	glyma
Glyma.11G127400	FAR1	TFDB	7243	glyma
Glyma.11G131200	bHLH	TFDB	2737	glyma
Glyma.11G138000	GRAS	TFDB	891	glyma
Glyma.11G138100	GRAS	TFDB	250	glyma
Glyma.11G138200	GRAS	TFDB	None	glyma
Glyma.11G138300	GRAS	TFDB	250	glyma
Glyma.11G138400	GRAS	TFDB	250	glyma
Glyma.11G138500	GRAS	TFDB	None	glyma
Glyma.11G138600	GRAS	TFDB	250	glyma
Glyma.11G140200	Dof	TFDB	340	glyma
Glyma.11G145400	GATA	TFDB	13341	glyma
Glyma.11G148000	NF-YC	TFDB	13800	glyma
Glyma.11G150200	GRAS	TFDB	19209	glyma
Glyma.11G155400	SRS	TFDB	4844	glyma
Glyma.11G156200	GATA	TFDB	None	glyma
Glyma.11G156700	Trihelix	TFDB	5786	glyma
Glyma.11G163300	WRKY	TFDB	710	glyma
Glyma.11G164800	LBD	TFDB	1174	glyma
Glyma.11G165800	FAR1	TFDB	None	glyma
Glyma.11G167400	bZIP	TFDB	18015	glyma
Glyma.11G167600	bZIP	TFDB	None	glyma
Glyma.11G167900	bZIP	TFDB	18015	glyma
Glyma.11G177100	GRAS	TFDB	None	glyma
Glyma.11G180100	E2F/DP	TFDB	844	glyma
Glyma.11G182000	NAC	TFDB	798	glyma
Glyma.11G183100	NF-YB	TFDB	11637	glyma
Glyma.11G183700	bZIP	TFDB	2127	glyma
Glyma.11G186700	bZIP	TFDB	2309	glyma
Glyma.11G192800	bHLH	TFDB	5237	glyma
Glyma.11G196000	TCP	TFDB	None	glyma
Glyma.11G211900	VOZ	TFDB	None	glyma
Glyma.11G212400	NAC	TFDB	6855	glyma
Glyma.11G216500	GRAS	TFDB	3893	glyma
Glyma.11G217700	bHLH	TFDB	3932	glyma
Glyma.11G230200	NF-X1	TFDB	12974	glyma
Glyma.11G231300	bHLH	TFDB	5253	glyma
Glyma.11G231500	LBD	TFDB	7244	glyma
Glyma.11G236300	bZIP	TFDB	4043	glyma
Glyma.11G239000	EIL	TFDB	5994	glyma
Glyma.11G247300	Trihelix	TFDB	7043	glyma
Glyma.11G250000	NF-YC	TFDB	12904	glyma
Glyma.11G251500	SBP	TFDB	2411	glyma
Glyma.11G251900	CAMTA	TFDB	3827	glyma
Glyma.12G003200	NAC	TFDB	10088	glyma
Glyma.12G004900	NAC	TFDB	1107	glyma
Glyma.12G011500	FAR1	TFDB	13412	glyma
Glyma.12G012100	GRAS	TFDB	None	glyma
Glyma.12G018000	E2F/DP	TFDB	5024	glyma
Glyma.12G018100	GRAS	TFDB	5853	glyma
Glyma.12G022100	GRAS	TFDB	2433	glyma
Glyma.12G022600	GRAS	TFDB	11174	glyma
Glyma.12G022700	NAC	TFDB	7966	glyma
Glyma.12G024400	bHLH	TFDB	8836	glyma
Glyma.12G033000	bZIP	TFDB	4262	glyma
Glyma.12G036400	bZIP	TFDB	6481	glyma
Glyma.12G037700	GATA	TFDB	3727	glyma
Glyma.12G039100	SRS	TFDB	11785	glyma
Glyma.12G040600	bZIP	TFDB	438	glyma
Glyma.12G042800	bHLH	TFDB	3131	glyma
Glyma.12G045100	bZIP	TFDB	49013	glyma
Glyma.12G050100	Nin-like	TFDB	1811	glyma
Glyma.12G051200	bZIP	TFDB	49264	glyma
Glyma.12G052000	FAR1	TFDB	7243	glyma
Glyma.12G055400	bHLH	TFDB	2737	glyma
Glyma.12G061900	GRAS	TFDB	891	glyma
Glyma.12G062000	GRAS	TFDB	250	glyma
Glyma.12G062100	GRAS	TFDB	250	glyma
Glyma.12G062200	GRAS	TFDB	250	glyma
Glyma.12G063800	Dof	TFDB	340	glyma
Glyma.12G069100	NF-YC	TFDB	13800	glyma
Glyma.12G072000	LBD	TFDB	949	glyma
Glyma.12G072400	Dof	TFDB	5280	glyma
Glyma.12G076500	GATA	TFDB	13341	glyma
Glyma.12G081200	bHLH	TFDB	5237	glyma
Glyma.12G088700	bZIP	TFDB	2127	glyma
Glyma.12G089400	NF-YB	TFDB	11637	glyma
Glyma.12G091200	NAC	TFDB	798	glyma
Glyma.12G093400	E2F/DP	TFDB	844	glyma
Glyma.12G096000	YABBY	TFDB	3821	glyma
Glyma.12G097100	WRKY	TFDB	11367	glyma
Glyma.12G114300	bHLH	TFDB	1763	glyma
Glyma.12G118700	NAC	TFDB	663	glyma
Glyma.12G120100	VOZ	TFDB	19399	glyma
Glyma.12G120700	LBD	TFDB	8398	glyma
Glyma.12G121000	bZIP	TFDB	5167	glyma
Glyma.12G121500	TCP	TFDB	None	glyma
Glyma.12G122800	bHLH	TFDB	5076	glyma
Glyma.12G136300	bHLH	TFDB	4904	glyma
Glyma.12G137700	GRAS	TFDB	7603	glyma
Glyma.12G141700	bHLH	TFDB	4813	glyma
Glyma.12G145100	NAC	TFDB	None	glyma
Glyma.12G148900	NAC	TFDB	5737	glyma
Glyma.12G149100	NAC	TFDB	2679	glyma
Glyma.12G152600	WRKY	TFDB	3745	glyma
Glyma.12G158200	FAR1	TFDB	None	glyma
Glyma.12G158900	TCP	TFDB	6890	glyma
Glyma.12G160100	NAC	TFDB	None	glyma
Glyma.12G161700	NAC	TFDB	5029	glyma
Glyma.12G165800	ZF-HD	TFDB	49124	glyma
Glyma.12G168300	TCP	TFDB	2430	glyma
Glyma.12G168600	ZF-HD	TFDB	49197	glyma
Glyma.12G168700	ZF-HD	TFDB	49289	glyma
Glyma.12G171600	NAC	TFDB	11448	glyma
Glyma.12G174200	GATA	TFDB	13341	glyma
Glyma.12G178500	bHLH	TFDB	5237	glyma
Glyma.12G184400	bZIP	TFDB	None	glyma
Glyma.12G184500	bZIP	TFDB	2127	glyma
Glyma.12G186200	NAC	TFDB	798	glyma
Glyma.12G186900	NAC	TFDB	None	glyma
Glyma.12G190500	YABBY	TFDB	3821	glyma
Glyma.12G196700	bHLH	TFDB	19360	glyma
Glyma.12G196900	bHLH	TFDB	13973	glyma
Glyma.12G197300	GRAS	TFDB	13229	glyma
Glyma.12G205200	bHLH	TFDB	1763	glyma
Glyma.12G206900	NAC	TFDB	663	glyma
Glyma.12G208400	bZIP	TFDB	5167	glyma
Glyma.12G208800	TCP	TFDB	14536	glyma
Glyma.12G209900	bHLH	TFDB	5076	glyma
Glyma.12G210900	Trihelix	TFDB	2451	glyma
Glyma.12G212300	WRKY	TFDB	13988	glyma
Glyma.12G214900	bHLH	TFDB	4904	glyma
Glyma.12G216100	GRAS	TFDB	7603	glyma
Glyma.12G216800	bHLH	TFDB	4813	glyma
Glyma.12G217200	NF-YC	TFDB	11351	glyma
Glyma.12G221400	NAC	TFDB	5737	glyma
Glyma.12G221500	NAC	TFDB	2679	glyma
Glyma.12G226000	SBP	TFDB	2143	glyma
Glyma.12G226500	NAC	TFDB	5029	glyma
Glyma.12G227700	bZIP	TFDB	15557	glyma
Glyma.12G228300	TCP	TFDB	19396	glyma
Glyma.12G231400	BES1	TFDB	1915	glyma
Glyma.12G231500	BES1	TFDB	1915	glyma
Glyma.12G236800	NF-YA	TFDB	11359	glyma
Glyma.12G238700	bHLH	TFDB	9370	glyma
Glyma.13G000700	FAR1	TFDB	None	glyma
Glyma.13G003600	NF-YB	TFDB	None	glyma
Glyma.13G030000	FAR1	TFDB	None	glyma
Glyma.13G030900	NAC	TFDB	7060	glyma
Glyma.13G037100	GRAS	TFDB	2772	glyma
Glyma.13G040100	bHLH	TFDB	5997	glyma
Glyma.13G046300	LBD	TFDB	3863	glyma
Glyma.13G047400	TCP	TFDB	2697	glyma
Glyma.13G050700	bZIP	TFDB	833	glyma
Glyma.13G062000	NAC	TFDB	19645	glyma
Glyma.13G062500	Dof	TFDB	391	glyma
Glyma.13G062900	ZF-HD	TFDB	5829	glyma
Glyma.13G063100	ZF-HD	TFDB	1918	glyma
Glyma.13G063300	NAC	TFDB	1673	glyma
Glyma.13G063800	bHLH	TFDB	3336	glyma
Glyma.13G075000	bZIP	TFDB	7634	glyma
Glyma.13G076700	EIL	TFDB	1339	glyma
Glyma.13G076800	EIL	TFDB	1339	glyma
Glyma.13G081700	GRAS	TFDB	5389	glyma
Glyma.13G085100	bZIP	TFDB	1097	glyma
Glyma.13G101100	bHLH	TFDB	1632	glyma
Glyma.13G102000	WRKY	TFDB	11400	glyma
Glyma.13G103900	GATA	TFDB	1893	glyma
Glyma.13G105400	bHLH	TFDB	7527	glyma
Glyma.13G105700	HSF	TFDB	1011	glyma
Glyma.13G107900	NF-YA	TFDB	11451	glyma
Glyma.13G117600	WRKY	TFDB	52871	glyma
Glyma.13G120700	bHLH	TFDB	8226	glyma
Glyma.13G121300	LBD	TFDB	4308	glyma
Glyma.13G121400	LBD	TFDB	2568	glyma
Glyma.13G124900	GRAS	TFDB	14459	glyma
Glyma.13G130100	bHLH	TFDB	2980	glyma
Glyma.13G138200	S1Fa-like	TFDB	3036	glyma
Glyma.13G144100	TCP	TFDB	52796	glyma
Glyma.13G149700	Trihelix	TFDB	5914	glyma
Glyma.13G149900	Trihelix	TFDB	10861	glyma
Glyma.13G151200	HSF	TFDB	8969	glyma
Glyma.13G153200	bZIP	TFDB	4324	glyma
Glyma.13G157800	YABBY	TFDB	6359	glyma
Glyma.13G172900	VOZ	TFDB	8388	glyma
Glyma.13G174700	NAC	TFDB	663	glyma
Glyma.13G177400	SBP	TFDB	4367	glyma
Glyma.13G177500	Dof	TFDB	3929	glyma
Glyma.13G177600	Dof	TFDB	6149	glyma
Glyma.13G178800	bHLH	TFDB	2367	glyma
Glyma.13G180200	HSF	TFDB	15150	glyma
Glyma.13G182700	Dof	TFDB	7599	glyma
Glyma.13G189400	NF-YC	TFDB	1401	glyma
Glyma.13G191000	LBD	TFDB	10341	glyma
Glyma.13G193700	bZIP	TFDB	4789	glyma
Glyma.13G195800	Trihelix	TFDB	5786	glyma
Glyma.13G197300	SRS	TFDB	4844	glyma
Glyma.13G202300	NF-YA	TFDB	11359	glyma
Glyma.13G204400	bHLH	TFDB	9370	glyma
Glyma.13G207500	NF-YC	TFDB	53045	glyma
Glyma.13G207600	NF-YC	TFDB	52995	glyma
Glyma.13G207700	NF-YC	TFDB	52853	glyma
Glyma.13G208300	bHLH	TFDB	12670	glyma
Glyma.13G211200	FAR1	TFDB	12488	glyma
Glyma.13G213400	SBP	TFDB	9030	glyma
Glyma.13G219900	TCP	TFDB	3684	glyma
Glyma.13G225700	HSF	TFDB	4501	glyma
Glyma.13G229600	Trihelix	TFDB	2451	glyma
Glyma.13G230200	Dof	TFDB	4252	glyma
Glyma.13G234700	NAC	TFDB	663	glyma
Glyma.13G237400	SBP	TFDB	4367	glyma
Glyma.13G237500	Dof	TFDB	3929	glyma
Glyma.13G237600	Dof	TFDB	6149	glyma
Glyma.13G238300	bHLH	TFDB	2367	glyma
Glyma.13G241900	Dof	TFDB	7599	glyma
Glyma.13G243200	NAC	TFDB	12449	glyma
Glyma.13G249800	bHLH	TFDB	3809	glyma
Glyma.13G250300	bHLH	TFDB	6655	glyma
Glyma.13G251000	GeBP	TFDB	606	glyma
Glyma.13G251300	bHLH	TFDB	52731	glyma
Glyma.13G253500	bHLH	TFDB	7645	glyma
Glyma.13G260300	bZIP	TFDB	None	glyma
Glyma.13G266500	BES1	TFDB	1915	glyma
Glyma.13G266600	BES1	TFDB	1915	glyma
Glyma.13G267400	WRKY	TFDB	811	glyma
Glyma.13G267500	WRKY	TFDB	811	glyma
Glyma.13G267600	WRKY	TFDB	18040	glyma
Glyma.13G267700	WRKY	TFDB	811	glyma
Glyma.13G271700	TCP	TFDB	19396	glyma
Glyma.13G272500	bZIP	TFDB	15557	glyma
Glyma.13G274300	NAC	TFDB	5029	glyma
Glyma.13G274900	SBP	TFDB	2143	glyma
Glyma.13G279900	NAC	TFDB	2679	glyma
Glyma.13G280000	NAC	TFDB	5737	glyma
Glyma.13G284000	NF-YC	TFDB	11351	glyma
Glyma.13G284400	bHLH	TFDB	4813	glyma
Glyma.13G285400	GRAS	TFDB	7603	glyma
Glyma.13G286700	bHLH	TFDB	4904	glyma
Glyma.13G289400	WRKY	TFDB	13988	glyma
Glyma.13G290500	Trihelix	TFDB	2451	glyma
Glyma.13G291400	bHLH	TFDB	5076	glyma
Glyma.13G292500	TCP	TFDB	14536	glyma
Glyma.13G292800	bZIP	TFDB	5167	glyma
Glyma.13G294000	NAC	TFDB	663	glyma
Glyma.13G295400	SBP	TFDB	None	glyma
Glyma.13G296100	bHLH	TFDB	1763	glyma
Glyma.13G304900	GRAS	TFDB	13229	glyma
Glyma.13G305500	bHLH	TFDB	19360	glyma
Glyma.13G310100	WRKY	TFDB	11367	glyma
Glyma.13G311200	YABBY	TFDB	3821	glyma
Glyma.13G314600	NAC	TFDB	6274	glyma
Glyma.13G315300	NAC	TFDB	798	glyma
Glyma.13G316900	bZIP	TFDB	2127	glyma
Glyma.13G317000	bZIP	TFDB	10747	glyma
Glyma.13G322100	bHLH	TFDB	5237	glyma
Glyma.13G325100	GATA	TFDB	13341	glyma
Glyma.13G327600	NAC	TFDB	11448	glyma
Glyma.13G328500	LBD	TFDB	949	glyma
Glyma.13G329000	Dof	TFDB	5280	glyma
Glyma.13G335200	Dof	TFDB	340	glyma
Glyma.13G337200	GRAS	TFDB	52747	glyma
Glyma.13G337300	GRAS	TFDB	52846	glyma
Glyma.13G337400	GRAS	TFDB	250	glyma
Glyma.13G337500	GRAS	TFDB	None	glyma
Glyma.13G337600	GRAS	TFDB	891	glyma
Glyma.13G340600	Trihelix	TFDB	7606	glyma
Glyma.13G341600	FAR1	TFDB	20	glyma
Glyma.13G341700	bHLH	TFDB	2737	glyma
Glyma.13G342500	EIL	TFDB	12110	glyma
Glyma.13G344100	FAR1	TFDB	11342	glyma
Glyma.13G345200	bZIP	TFDB	3506	glyma
Glyma.13G345700	GRAS	TFDB	13310	glyma
Glyma.13G346300	Nin-like	TFDB	1811	glyma
Glyma.13G349700	LBD	TFDB	17486	glyma
Glyma.13G352000	Dof	TFDB	3261	glyma
Glyma.13G352600	bHLH	TFDB	3314	glyma
Glyma.13G359800	Trihelix	TFDB	9449	glyma
Glyma.13G368500	bHLH	TFDB	21740	glyma
Glyma.13G368600	bHLH	TFDB	21885	glyma
Glyma.13G368700	bHLH	TFDB	17999	glyma
Glyma.13G370100	WRKY	TFDB	3176	glyma
Glyma.14G000400	FAR1	TFDB	20	glyma
Glyma.14G001600	Nin-like	TFDB	53821	glyma
Glyma.14G006800	WRKY	TFDB	6467	glyma
Glyma.14G006900	GRAS	TFDB	1747	glyma
Glyma.14G009200	SAP	TFDB	12877	glyma
Glyma.14G010000	NF-YA	TFDB	4091	glyma
Glyma.14G016000	GRAS	TFDB	19347	glyma
Glyma.14G016200	WRKY	TFDB	1875	glyma
Glyma.14G021100	LBD	TFDB	2448	glyma
Glyma.14G028900	WRKY	TFDB	9401	glyma
Glyma.14G030700	NAC	TFDB	850	glyma
Glyma.14G032200	bHLH	TFDB	4238	glyma
Glyma.14G034800	SRS	TFDB	7479	glyma
Glyma.14G036200	HSF	TFDB	7670	glyma
Glyma.14G038800	NF-YC	TFDB	1401	glyma
Glyma.14G041500	EIL	TFDB	1339	glyma
Glyma.14G043900	FAR1	TFDB	20	glyma
Glyma.14G056700	LBD	TFDB	1174	glyma
Glyma.14G057600	LBD	TFDB	7244	glyma
Glyma.14G058200	bHLH	TFDB	5253	glyma
Glyma.14G066900	LBD	TFDB	12935	glyma
Glyma.14G069700	bHLH	TFDB	3932	glyma
Glyma.14G071400	bZIP	TFDB	53774	glyma
Glyma.14G076900	BES1	TFDB	4732	glyma
Glyma.14G083700	HSF	TFDB	4586	glyma
Glyma.14G084200	bHLH	TFDB	9051	glyma
Glyma.14G084300	NAC	TFDB	14449	glyma
Glyma.14G085500	WRKY	TFDB	1342	glyma
Glyma.14G088200	LBD	TFDB	8267	glyma
Glyma.14G088400	bHLH	TFDB	3921	glyma
Glyma.14G089600	bHLH	TFDB	3172	glyma
Glyma.14G094800	GATA	TFDB	15737	glyma
Glyma.14G096800	HSF	TFDB	7946	glyma
Glyma.14G100100	WRKY	TFDB	9095	glyma
Glyma.14G102200	bHLH	TFDB	3782	glyma
Glyma.14G102900	WRKY	TFDB	7639	glyma
Glyma.14G103100	WRKY	TFDB	19232	glyma
Glyma.14G119100	GRAS	TFDB	2772	glyma
Glyma.14G127400	BES1	TFDB	53935	glyma
Glyma.14G135400	WRKY	TFDB	4309	glyma
Glyma.14G136500	bHLH	TFDB	None	glyma
Glyma.14G140100	NAC	TFDB	4387	glyma
Glyma.14G145700	GATA	TFDB	3417	glyma
Glyma.14G152700	NAC	TFDB	7060	glyma
Glyma.14G160700	bHLH	TFDB	5997	glyma
Glyma.14G167000	bZIP	TFDB	1097	glyma
Glyma.14G178000	bHLH	TFDB	3864	glyma
Glyma.14G179600	ZF-HD	TFDB	1853	glyma
Glyma.14G181500	bHLH	TFDB	13236	glyma
Glyma.14G182800	GATA	TFDB	5388	glyma
Glyma.14G185100	bHLH	TFDB	1138	glyma
Glyma.14G185800	WRKY	TFDB	3516	glyma
Glyma.14G186000	WRKY	TFDB	3516	glyma
Glyma.14G186100	WRKY	TFDB	3516	glyma
Glyma.14G189300	NAC	TFDB	3282	glyma
Glyma.14G197200	bZIP	TFDB	15485	glyma
Glyma.14G199800	WRKY	TFDB	19693	glyma
Glyma.14G200200	WRKY	TFDB	710	glyma
Glyma.14G202300	LBD	TFDB	19325	glyma
Glyma.14G204100	bZIP	TFDB	2309	glyma
Glyma.14G210000	NAC	TFDB	6855	glyma
Glyma.14G216400	SRS	TFDB	1366	glyma
Glyma.14G217200	bZIP	TFDB	19246	glyma
Glyma.15G002100	FAR1	TFDB	17588	glyma
Glyma.15G003300	WRKY	TFDB	3176	glyma
Glyma.15G005000	bHLH	TFDB	17999	glyma
Glyma.15G005100	bHLH	TFDB	21740	glyma
Glyma.15G011100	bHLH	TFDB	2316	glyma
Glyma.15G014200	Trihelix	TFDB	9449	glyma
Glyma.15G017300	bHLH	TFDB	1196	glyma
Glyma.15G022000	bHLH	TFDB	3314	glyma
Glyma.15G022800	Dof	TFDB	3261	glyma
Glyma.15G027400	NF-YA	TFDB	None	glyma
Glyma.15G027900	Nin-like	TFDB	1811	glyma
Glyma.15G028600	GRAS	TFDB	13310	glyma
Glyma.15G029100	bZIP	TFDB	3506	glyma
Glyma.15G029900	FAR1	TFDB	7243	glyma
Glyma.15G030200	FAR1	TFDB	11342	glyma
Glyma.15G031800	EIL	TFDB	12110	glyma
Glyma.15G032700	bHLH	TFDB	2737	glyma
Glyma.15G032800	FAR1	TFDB	20	glyma
Glyma.15G033800	Trihelix	TFDB	7606	glyma
Glyma.15G036900	GRAS	TFDB	891	glyma
Glyma.15G037000	GRAS	TFDB	891	glyma
Glyma.15G037100	GRAS	TFDB	250	glyma
Glyma.15G037200	GRAS	TFDB	51206	glyma
Glyma.15G039300	Dof	TFDB	340	glyma
Glyma.15G044800	Dof	TFDB	5280	glyma
Glyma.15G045200	LBD	TFDB	949	glyma
Glyma.15G045700	GATA	TFDB	None	glyma
Glyma.15G049000	bZIP	TFDB	13246	glyma
Glyma.15G051200	NAC	TFDB	7471	glyma
Glyma.15G053600	CAMTA	TFDB	6054	glyma
Glyma.15G061400	bHLH	TFDB	7645	glyma
Glyma.15G062600	bHLH	TFDB	51064	glyma
Glyma.15G063000	bHLH	TFDB	50983	glyma
Glyma.15G063300	GeBP	TFDB	606	glyma
Glyma.15G063900	bHLH	TFDB	6655	glyma
Glyma.15G064000	bHLH	TFDB	6655	glyma
Glyma.15G064500	bHLH	TFDB	3809	glyma
Glyma.15G070300	NAC	TFDB	12449	glyma
Glyma.15G071400	Dof	TFDB	7599	glyma
Glyma.15G075000	bHLH	TFDB	2367	glyma
Glyma.15G075800	Dof	TFDB	6149	glyma
Glyma.15G076000	Dof	TFDB	3929	glyma
Glyma.15G076200	SBP	TFDB	4367	glyma
Glyma.15G078300	NAC	TFDB	663	glyma
